Name,Address,Zipcode,County,Latitude,Longitude,Description,Highlight,WiFi,Outlets,HotFood,Restroom,Seats,TimeRestriction,RestrictionAmount,ScoutName
Mottley Kitchen,"402 E 140th St, Bronx, NY 10454",10454,Bronx,40.810143,-73.921707,"Great for getting work and studying done, community friendly and also great to eat with casual welcoming vibes, high school/university community visitors. Highlights include from housemade wellness shots and fun drinks and filling food to a whole outdoor rooftop upstairs WITH outlets!!! Wifi confirmed to be a WPA personal.",FALSE
The Clubhouse Cafe,"812 River Ave, Bronx, NY 10451",10451,Bronx,40.82637,-73.926727,"Cozy but a good amount of seating, quick bites are nearby the cafe but they sell pastries and some bottled drinks as well as cute merch, a  nonprofit cafe representing the south bronx. Wifi confirmed to be WPA2-Personal",FALSE
Boogie Down Grind,"868 Hunts Point Ave, Bronx, NY 10474, United States",10474,Bronx,40.818536,-73.888895,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
Maleeha Cafe,"1807 Hunt Ave, Bronx, NY 10462",10462,Bronx,40.84572,-73.8653,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
Prince Coffee House,"2306 Arthur Ave, Bronx, NY 10458",10458,Bronx,40.85371,-73.88917,"Restroom is downstairs but can be unaval. at times due to private events, aesthetically pleasing cafe with tons of natural sunlight and beautiful glass windows. Great for getting some work done, grabbing a bite and also getting work done with friends.",FALSE
The Way Cafe,"1015 Castle Hill Ave, Bronx, NY 10472, United States",10472,Bronx,40.82809,-73.85015,"Great cafe with coffee, different drinks other than coffee and hot food",FALSE
Nefer Bookcafe,"694 E 241st St, Bronx, NY 10470",10470,Bronx,40.90351,-73.85056,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
Clipper Coffee,"274 City Island Ave, Bronx, NY 10464, United States",10464,Bronx,40.8463,-73.78612,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
Savor Coffee and More,"3725 Riverdale Ave, Bronx, NY 10463",10463,Bronx,40.88746,-73.90722,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
Artizen Cafe,"3700 Riverdale Ave, Bronx, NY 10463, United States",10463,Bronx,40.88679,-73.90709,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
